Brand,Model,Star,Title,Date,Pros,Cons,Other
AMD,YD270XBGAFBOX,5,AMD RYZEN 7 2700X is an awesome processor!,2018-10-13,"Pros:-8 cores/16 threads with high enough frequency for a good price, with a good cooler tooFor the price, I would buy 2700X over Intel's 6 core/12 threads Core i7 8700K or i7 8086K any day. That holds true for gaming too. Yes, Intel chips have higher frequency, but some people reported that despite having more fps at lower resolution (1080P or 1440P), some games did not run as smooth as with 2700X, so overall experience was better with Ryzen  7 2700X. At 4K, you don't even get slightly lower fps with 2700X, 1 or 2 frames at the most, which is within the margin of error. Gaming is generally considered to be 2700X's week point, but it is really not, and at 4K resolution, there is no difference, no matter what high end video card you are going to use. Of course, if you do other things that can take full advantage of 8 cores/16 threads, 2700X wins against Intel's 6 core/12 threads i7 8700K or 8086K with no contest. Always read and watch the reviews to make up your own mind before you buy any processor!","Cons:-NoneI am personally extremely happy with my AMD RYZEN 7 2700X, including its gaming performance.","Other Thoughts:Intel is soon to release Core i9 9900K, which will also have 8 cores/16 threads, just like Ryzen 7 2700X. It is about time, considering that AMD had 8 core processors for about 1.5 years now (not counting CPUs before Ryzen) on the mainstream platform. I have no doubt that Intel's i9 9900K will have better performance than Ryzen 7 2700X. But then it comes down to price, and I am pretty sure that Intel's i9 9900K will be much more expensive for somewhat better performance than Ryzen  7 2700X, especially because of Intel's current production issues with 14 nm process. Intel's i9 9900K should cost $488 US (not CAD) when released. To be honest, if you want 8 core/16 threads processor and if you are after gaming performance, I would suggest to get AMD's 2700X (not Intel's i9 9900K), and put the difference towards a better video card, which would in general improve your performance in gaming way more than getting Intel's i9 9900K alone. That being said, you don't necessarily need 8 core/16 threads processor for gaming in 2018, but I would recommend it, considering that you may want to keep it for a while. Ultimately, it is up to you to decide if it is worth buying Intel's i9 9900K or i7 8700K or i7 8086K or any other processor over Ryzen 7 2700X."
AMD,YD270XBGAFBOX,5,NICE!,2018-10-11,Pros:-Will do light work of basicaly anything-Nice cooler in the box,Cons:-none so far,None
AMD,YD270XBGAFBOX,5,Wow,2018-10-05,Pros:So fast it cought me of guard at 1st.   Everything runs super smooth and fast.  Replaced my 6700k.Paired with MSI Carbon Pro and G Skill 3200mhz memory.Everything Worked like a charm.  Didn't even had to re-install windows it just worked.  I will reset windows just in case.Stock cooler is good.  I was playing cs go with an open case and my temps were 49-51 Celsius which is insanely cool.,"Cons:Fan a bit loud, but its not a big deal",Other Thoughts:Recommended this prdouct to few of my friends and they got it too.None of them any any issues so far.Good Job AMD and welcome back in the CPU world.
AMD,YD270XBGAFBOX,5,Excellent processor,2018-10-04,Pros:I really like the speed this processor has.  The stock fan is quite enough for what I need.  I like the stock fan being RGB.  The whole thing works great with my Gigabtye X470 Aorus.  The CPU fan is very quiet.,Cons:Cons are required but not necessary with this product.,None
AMD,YD270XBGAFBOX,1,"DON""T BUY ***READ***",2018-10-01,"Pros:Below is my original review, go to CON's.I'm running Ubuntu 18.04 and upgraded from an Intel i7-6700k. The Meltdown and Spectre patches killed my performance and became unbearable. This CPU with the Gigabyte X470 Auros Motherboard surpassed my expectations. The performance in spectacular. I use it for development and compiles/builds have noticeably improved.",Cons:AMD has introduced a performance penalty in their latest update to their AGESA 1.0.0.4 Microcode. This update decreases the multi-threaded performance of the CPU by more than 15%.I have been in contact with Gigabyte and they acknowledged the problem and w﻿ere able to reproduce the results as well. The performance decrease can be noticed using real world applications and synthetic benchmarks such as Passmark's PerformanceTest.Gigabyte said they would be contacting AMD about the issue.My guess at the moment is a variant of Spectre flaw was patched and has critically hindered the performance and AMD just silently didn't tell anyone.Be warned for anyone buying the Ryzen 7 2700x and getting the expected performance that has been reported in the past. This patch has hit the overall performance of the CPU.,None
AMD,YD270XBGAFBOX,5,its ryzen 7 2700x!,2018-09-30,"Pros:RGB on the wraith prism cooler looks fancy and syncing well with motherboard RGBs with proper software.very strong multicore processing, it gets my video rendering work done really fast.for my 4k gaming experience along with vega 64 GPU, this ryzen 7 2700x does superb work with no bottleneck.for OCers the stock RGB cooler decent jobs cooling down the CPU and low fan noise, I would not spend money on aftermarket coolers for light overclocking on this CPU though.",Cons:none,None
AMD,YD270XBGAFBOX,5,Great Productivity Processor,2018-09-30,Pros:This is a very fast processor.  It is great for a mix of productivity and gaming performance.  Comes with a cooler that has optional RGB.,Cons:Limited PCIE lanes limits the number of M.2 NAND drives and high performance graphics cards that can be used.,"Other Thoughts:I replaced my i7 6800K with this. The two extra cores help with productivity and the higher based/turbo clocks make it great for games.  I thought about going with the best i7, but all the coolers excluding custom loop water, disinterested me and I did not want to spend the extra cash for it.I chose the X over the non-X to get higher clock frequencies for better gaming performance.  I have not overclocked this processor as it is fast enough for me without overclocking.  I need stability and this processor, even with the included cooler, is solid.I have not found out how to control the inner ring of the RGB on the cooler to keep it from color changing.  But it looks cool, so I stopped fiddling with it."
AMD,YD270XBGAFBOX,5,Pretty Awesome for 3D Modeling and Gaming,2018-09-30,Pros:Got to clock to 4.15Ghz across all cores at 1.2875V which is awesome for temperatures and productivity. Scoring an 1874 on cinebench was a good sight. It does anything and everything you could want without too much of a hiccup once you get it tuned in.,"Cons:The Voltages at stock are a little crazy if your board automatically applies an all core clock speed. I saw it fluctuate from .9~ish volts @2.8Ghz to 1.55v at 4.3Ghz, just from the stock settings with the board auto-applying the All Core Boost. This made my processor sit at roughly 80-85 Degrees C Tdie (90-95 C Tctl). That temperature was a tad uncomfortable for me and it climbed easily when the GPU was also pushing heavy loads. The only thing I wish is that in the future AMD makes sure that features which can cause an auto-overclock are disabled by default as some people may never check for this sort of thing.","Other Thoughts:I'd still recommend this over Intel if you want your computer to perform well in a variety of different tasks, such as: Gaming, Recording, 3D Modeling, Game Development, Video Editing, etc.With the Vega 64 Listed below, I've been getting 100-120fps (Locked at 120fps) on Fortnite at 1080p@Max, 65-75 FPS in Doom at 4k@Max, and am getting great performance in blender for modeling.System:Ryzen 2700xCooler: MA610Px470 TaichiG. Skill Mem Model F4-2400C16D-32GFTSapphire Nitro SR Vega 642x 1Tb WD Blue SSDRM850x Power SupplySilent Base 800 Case"
AMD,YD270XBGAFBOX,5,Powerhouse!,2018-09-28,Pros:8 Core/16 Thread performance I barely reach 50% load during gaming/everyday tasks (gaming). I upgraded from an Intel i7 3770K which was decent for 1440p gaming though would bottleneck with 4K gaming. AMD 2700X Handles 4K like a champ with room to spare. I'm still troubleshooting clock and memory speeds. Currently workingat 4.3GHz @ 1.4+/-. Very pleased with where AMD is going and how they are tackling Intel. Healthy Competition is always welcomed.,Cons:Little headroom beyond 4.3GHz though considering this is an 8 core CPU that's understandable. AMD is still innovating! Pending Zen 3 @ 7nm.Stock cooler is adequate if you do not plan on overclocking anything. You can try to overclock on air though will see temps spike past your comfort zone. Cinebench on air would push me to 90-100+ Celsius and Idle temps would fluctuate between 60-70c. Now granted I did not use thermal paste. I used a thermal graphite pad. I'm currently using thermal paste with a custom water loop that has improved temps and clock speeds. You may have different results. Take mine experience with a grain of salt.,Other Thoughts:Current Rig:Ryzen 2700X X 43GHzAsus X470 Crosshair VII WifiCorsair 32GB GDDR4 3466MHz running at 3200MHz Stable2 x EVGA 1080 Hybris in SLICorsair HX1000iCorsair 570X RGB Crystal Case White
AMD,YD270XBGAFBOX,5,Wow this thing is fast.,2018-09-27,Pros:Just use the wraith spire included with this CPU. I bought an AIO water cooler and quite frankly I wasted a lot of money on it. Just use the cooler the box has inside of it.,Cons:None.,Other Thoughts:Would have been nice to have some detailed instructions on how to install this entire thing. At least include a how to.
AMD,YD270XBGAFBOX,5,AMD is back,2018-09-26,"Pros:FAST. Don't let the benchmark hardcore geeks fool you, this chip from AMD put them back into the game big time. If you are a hardcore custom building OC'ing ultra computer nerd, then you are likely going to find more hobby potential somewhere else. If you are everyone else, gamer, graphics design, whatever, then this is the chip for you. AMD's own fancy little algorithm does an amazing job of optimizing power use and boost clock performance without having to touch anything. It's plug and play speed.","Cons:None? I have heard these chips run hot, but i built my rig with a liquid cool set up from the get go so i couldn't say. The included air cooler is huge and fancy and looks like a part from a space shuttle or something, so odds are even if it runs hot AMD has you covered with that thing. I went liquid because I have in the past and IMO more stable temps also means more life and less fan noise. Especially the fan noise part.","Other Thoughts:Now is the time to give AMD a shot. This chip is bonkers. I picked up a Vega 64 GPU to go with it, a lot because of price but also because the (hard to find) unbiased reviews gave it very high marks on par if not exceeding the 1080's. I hope AMD can design a GPU to put Nvidea on it's heels like they did to Intel with chip.I put this into a new rig using ASRock's Taichi mobo. What a brilliant combo it has been so far."
AMD,YD270XBGAFBOX,4,Fantastic package,2019-02-20,"Pros:This CPU is a powerhouse. Paired with my Crosshair VII Hero motherboard, overclocking it to get the most out of the cores and the RAM, alongside a RTX 2080 has me running all current triple-A games well beyond 60FPS at maximum settings.Installation was a breeze. Chip slid right in and the heatsink/fan that came with it snapped right on to the motherboard's mounts with zero issues.The LEDS are beautiful and absolutely mesmerizing to watch.","Cons:The fan is VERY loud when under loads. It's not a consistent noise, but it will do a sporadic burst of high RPM that hits nearly 56dba to quickly cool down the processor, then it quiets down for a few minutes thereafter.","Other Thoughts:I would certainly recommend this to anyone looking to get a great CPU for their money. Keep in mind, if you don't like a noisy cooling system, you might want to look into a different one than the one that comes with the CPU."
AMD,YD270XBGAFBOX,5,Smoking fast,2019-02-19,Pros:It does everything but drive me to work !,Cons:No pretty stickers to put on the side of my case.,Other Thoughts:Yes Yes Yes Get this CPU you won't be disappointed.
AMD,YD270XBGAFBOX,5,Great piece of hardware,2019-02-18,Pros:Runs very well for gaming and multitasking.,Cons:None so far,Other Thoughts:I would absolutely recommend and have this item.
AMD,YD270XBGAFBOX,5,Great Product! Easy to Setup and Use!,2019-02-18,Pros:what you liked about the product: everythingmy job (taking over the world) was definitely made easier by the product!not there yet but almost lol,Cons:- What did you not like about the product?liked everything!How could it be improved?i dunno! f f s ! i dont work in the computer hardware industry lol- Let others know if any of the problems you encountered can be resolved or avoided.no problems thus far so stop bringing that sh 1 T  up!- Be sure to include any bugs or defects.Again none,None
AMD,YD270XBGAFBOX,5,Great for gaming,2019-02-17,Pros:i got mine to OC at 4.1GHZ at 1.35V stable,Cons:none,None
AMD,YD270XBGAFBOX,4,Would have worked great.,2019-02-16,Pros:It's fast,Cons:The pins are fragile. Wish they'd stop using pins,"Other Thoughts:I know this is a great CPU, I know it would have done everything I asked of it. I know that it, in many ways is superior to Intel. I just wish they didn't use pins. Accidents do happen, pins do get bent, and when they do, AMD doesn't do anything to help you..You'd think they'd plan ahead for accidents to happen knowing that they use pins instead of pads. That people aren't perfect. Instead, they'd rather leave you hanging with a $300 gold plated paperweight that you spent months saving up for, and that is so heartbreaking...This new build was suppose to be a chance to make some money from home ""I'm disabled"" and now I can't...So yea, I only docked the one point because of the pins and how unwilling AMD is to help you if you have any kind of accident...If I ever get a chance to buy a new one ""Which will take who knows how long"" I'll update this review."
AMD,YD270XBGAFBOX,5,Great processor hard to overclock,2019-02-14,Pros:Been using this for several months now and I have to say it is a fast processor.One thing to keep in mind is that its internal built features it keeps track of how hot it is and will downclock itself if it gets to hot. I've noticed the better the cooling the more it overclocks itself and keeps the overclock (yes it does this on its own and does not need anyone to tweek the settings).,Cons:If you try and manually overclock it you may have issues trying to get it stable. It is really not needed. You should focus more on keeping it as cool as you can so it can overclock itself.,Other Thoughts:None
AMD,YD270XBGAFBOX,5,Big power savings,2019-02-11,"Pros:Despite the fact that it's listed at 105W, this saves a lot of power over an FX 8350 both at idle and at max throughput. I assume that's because it calculates & completes OS requests so much faster, therefore obviating the need to keep it running at higher wattage for longer periods of time. I discovered this pleasant surprise by monitoring a UPS regularly for the first few weeks.","Cons:It is often said that AMD does not support using the 2700x on Windows 7, when in fact they leave that up to the motherboard manufacturers and Microsoft. If it doesn't work on Windows 7, the motherboard makers and Microsoft will just point fingers at each other.",None
AMD,YD270XBGAFBOX,5,Great Processor,2019-02-11,Pros:- Price is very good- Runs great- AMD Wraith Prism Cooler is wonderful and not very loud- Upgraded my computer with this and it is doing a wonderful job and stays a lot cooler than my older processor,Cons:None that I can think of,Other Thoughts:I would highly recommend this product!
AMD,YD270XBGAFBOX,3,Works almost perfectly... Almost a full RG(B) cooler.,2019-02-10,Pros:The CPU was able to hold an overclock of 17% and remain fairly cool in the process. Flawlessly installed and easyA Value for sure and worth buying.,Cons:Well.... Here is the almost. The Wraith cooler that is on the CPU is beautiful if it wasn't for the BLUE LED not working. This absolutely sucks.I would think that the tech would have spotted this in the testing before shipping but they didn't. The CPU has won the silicone lottery but the LED Wraith Cooler is a huge disappointment.,Other Thoughts:I would recomend this CPU but would be really careful if you are needing the RGB lighting for a special build as you might run into problems with it being able to produce the effect that is necessary for your install.
AMD,YD270XBGAFBOX,5,Great CPU,2019-02-10,Pros:I waited a month before writing my reviews on the build I put together with boxing day sales. I picked up this CPU on sale and so far I can say that I have no complaints. The cooler that it came with was effective enough to keep the temperatures nice and stable (around 68 deg C).My only recommendation is to get some good after market thermal paste for the CPU. The stuff that is pre-applied will probably be ok but I wouldnt risk it personally.,"Cons:No cons yet, if anything changes, I will update","Other Thoughts:Just for reference, my build is: Ryzen 7 2700, 16GB G.Skill Trident 3200, ASUS Prime X-470 Pro mother board, MSI RX Vega 64 Airboost. I also have two Corsair 140mm magnetic fans for intake cooling set up with positive pressure. The case is a Carbide 270R (which is a great budget case if you are building a decent computer and want good cooling with lots of room)"
AMD,YD270XBGAFBOX,5,Glad I switched back to AMD,2019-02-08,Pros:- 8c/16t monster of a chip for half the price of the 9900k.,Cons:- None so far.,"Other Thoughts:Sure the 9900k beats Ryzen when trying to squeeze out every possible frame, but not enough to justifying spending double in my opinion. You can buy this chip, a decent b450/x470 board and ram for around the same price as the 9900k alone, which is insane. Can't wait for Ryzen 2."
AMD,YD270XBGAFBOX,5,Works great,2019-02-07,"Pros:Chip works amazing in my gf's new computer, she runs every game on ultra, along with a good GPU, and ram, definitely recommend it, and considerably cheaper than getting an i-7 or i-9",Cons:havent found any,None
AMD,YD270XBGAFBOX,5,Very Happy,2019-02-06,"Pros:- self OC is deadly, runs high 4.2 regularily.","Cons:- devours the memory, i run B450F 3333 with 16GB Vengence LPX 3333 and im only hitting like 78th percentile for memory on passmark because of it.",None
AMD,YD270XBGAFBOX,5,"Um, yeah. This thing is fantstic!",2019-02-01,"Pros:Got the Chip for just under 300.00 and for the price it is a great value.Only do 1080P gaming, and paired it with a Vega 64, and has been a great comboGreat in Blender and anything else I throw at it.",Cons:Really can't think of any,"Other Thoughts:Chip like to stay cool to get most of XFR. Under custom whole house water loop, I can get 4.4ghz benchable and 4.3 stable on all cores. Under full load, chip stays under 45*C. Without the custom loop, 4.3 was hard to achieve.Not sure why some are saying the performance was killed with AGESA updates. Haven't noticed this, but also on 1.0.0.6"
AMD,YD270XBGAFBOX,5,"Great Cpu, Easy overclocking",2019-01-31,"Pros:I was able to manage a stable over clock of 4.2 on the factory cooler that comes with this cpu, Through bios. I was extremely surprised, Handles gaming like a breeze at ultra settings if paired with a proper graphics card.",Cons:None,None
AMD,YD270XBGAFBOX,5,Finally a good rival for Intel,2019-01-31,Pros:- Pretty much an overkill for any specs for further games to come- Amazing driver (AMD Ryzen Master)- It will boost to 4.3 ghz with the default setting (it will fluctuate from 2.4 ghz to 4.3 ghz on heavy load)- I manually set it to stay at 4.1ghz and go to 4.3ghz-ish on heavy load- Doesn't bottleneck with my RTX 2080,"Cons:- Took a long time to ship, it comes from the US so expect a long shipping time (roughly two weeks)- Nothing else","Other Thoughts:I would definitely recommend this product to anyone, I always been a fan boy of AMD cpu but the last time I had to build myself a pc, AMD wasn't doing cpus anymore so I had to go with Intel. I'm SO glad to be back with AMD !"
AMD,YD270XBGAFBOX,4,Good CPU,2019-01-30,Pros:Not easily overloaded. most of the time works with minimal efforts for middle range tasks.,Cons:System not noticeably faster than AM3+Too costly as an overall build versus benefits (If upgrading from AM3),"Other Thoughts:AMD could include a taller heat sink and quiet fan, we'll pay for it. The included sink and its fan are j a joke."
AMD,YD270XBGAFBOX,5,Runs great on Linux,2019-01-29,"Pros:I compile like no other. Great for dev, gaming and other computing hobbies. It runs beautifully on Linux.",Cons:None,None
AMD,YD270XBGAFBOX,5,Very solid indeed.,2019-01-29,"Pros:-I've been running this for 8 months and have had 0 problems.-The included wraith spire fan is awesome, even though im using an AIO water cooler.-I'm overclocking over the max boost limit with 0 issues and cool temps.",Cons:-none,None
AMD,YD270XBGAFBOX,5,Amazing all the way HELLS TO THE YES!!,2019-01-23,Pros:Everything about my build using this processor was pretty much flawless!!,Cons:none!,Other Thoughts:I would definitely recommend this processor to everyone who wants to build a bad @ $ $ box!!
AMD,YD270XBGAFBOX,5,NOW I'M PLAYING WITH POWER!!!,2019-01-22,Pros:This processor is out of sight! It was easy to install and the WRAITH cooler it comes with really does the job! Stressing it for over 15 minutes and it still stayed at no higher than 80 degress C. This is a great alternative to the rising prices of the Intel chips. Try this and you won't be disappointed. The WRAITH  cooler has RGB and it is addressable but you have to download the softwarefrom AMD's website in order to change the colors on it. And you also have to use the USB cable that comes with it and plug it into a RGB  header on the motherboard also.,Cons:None.,None
AMD,YD270XBGAFBOX,5,None,2019-01-21,Pros:the delivry was very fast and the cpu work perfectly fine. The fan that come up with the cpu its pretty amazing as well,Cons:did have any problem.,None
AMD,YD270XBGAFBOX,5,good processor,2019-01-20,Pros:just got it and hooked it up in my new PC build runs AC odyssey on full blast with no issues-the prism cooler is having no trouble keeping it cool did ben mark on cineabench with no overclocking and temps got no higher than 67c-adjusting the RGB was a sinch with the coolmaster paneli-,Cons:for the free game they want you to subscribe to there newsletter no big deal until they want you to download a program to verify the processor and I got a error the said pct wasn't genuine maybe cause I need a windows key but still if they want a verification they could ask for the recipe from new egg or something instead of downloading a program that most ppl will unistall after they got the game waiting till I get the cash to activate windows if I still have trouble looks like ill be calling them ...,Other Thoughts:will recommend and keep buying from AMD its cheaper than intel and be honest with gaming ppl not rly going to notice any difference wife got a i7 and I rly dont see anything different at least with the games now days
AMD,YD270XBGAFBOX,5,great cpu for professional workloads,2019-01-13,"Pros:Great for video editing, great for streaming, okay for gaming, overclock okayish on the stock cooler but better to leave it at stock settings instead, lots of cores and threads","Cons:Stock cooler can get loud, isn't best performer for gaming.",Other Thoughts:If you are just gaming get the ryzen 5 2600x or ryzen 5 2600 with an aftermarket cooler and it will be better than this cpu. Other than that this cpu is a beast!
AMD,YD270XBGAFBOX,5,works great!,2019-01-12,Pros:a lot more performance than my old ryzen 3 2200g,Cons:canot overclock like intel at 5 ghz,None
AMD,YD270XBGAFBOX,5,None,2019-01-12,Pros:Fast and perfect,Cons:None,None
AMD,YD270XBGAFBOX,5,Awesome Awesome sauce!  Best value for overall performance.  They are pushing Intel aside.,2019-01-11,Pros:Super fast for multitasking.  I run virtual machines all day long for work and then game sometimes in the evenings and this thing does it all.  I don't even need to close any VMs to load a game.  I also can stream 4k on one monitor and game on the other with a VM loaded on the 3rd.  Get full 75FPS (freezync) on the game monitor with no frame drop.*****---Buy this now and sell it on *online_marketplace* when the Ryzen 3000 (16 core 5GHz) comes out in ~6 months.,Cons:Get DDR4 3000 RAM that is approved for your x470 motherboard.  It can be hard to tweak RAM perfectly for this CPU and base 2100MHz will starve this CPU.  Don't overclock the cores at all.  Just get RAM that will run at least 3000 and you are golden.,Other Thoughts:Includes cooler!Great on ~$120 x470 motherboardsGet AMD approved DDR4 3000+ RAM and make sure to set it right in BIOS.
AMD,YD270XBGAFBOX,5,Computer turned on the first time!!!,2019-01-06,"Pros:I can write code, watch Netflix, listen to Pandora, track the stock market, and play a game or two all at the same time.",Cons:Runs a bit hotter than I like with Noctua NH-D15 SE-AM4.Limited clock speed.,"Other Thoughts:Will be upgrading to 3700X, AM4 socket FTW."
AMD,YD270XBGAFBOX,4,Wish I could rate 4.5/5,2019-01-05,"Pros:The cpu is priced right and the cooler makes a great gift to a friend if you plan to go aftermarket, I gave it to my friend with a 2600 build.  With my Cooler Master AIO liquid cooler I'm able to get the cpu to 4.3 GHz on all cores and have zero stability issues.  Temps max out at about 73C so still plenty of headroom for cooling even when under 100% utilization.  Able to stream while gaming and will be doing some video editing as well.","Cons:I currently have an Rx 580 and upgraded to a RTX 2070, but my performance didn't increase all that much in PUBG, maybe only 10fps, this may be because the CPU was bottlenecked even at 4.3ghz the IPC is still not as good as a 8700k from Intel at 5ghz.  I wish I could overclock this thing higher to get that performance, so I returned my 2070 :( I guess you can say this cpu saved me 800 bucks? Or maybe it was my guilt for spending 800 dollars on a GPU.","Other Thoughts:Can't wait to see where Zen 2 goes, AMD is on the right track to keep competition in the PC component marketplace."
AMD,YD270XBGAFBOX,4,Gets the job done,2019-01-04,Pros:It doesn't have a problem with anything I throw at it.,Cons:It runs warm even with a 240mm liquid cooler.,Other Thoughts:I tried overcooking this processor and only have success to 4.1 GHz. Heat doesn't seem to be the issue at all as it stays under 65C overcooked to 4.1 GHz anything above that and I experience stability issues.
AMD,YD270XBGAFBOX,5,Budget Beast,2018-12-31,Pros:Does everything it claimsEasy set upComes with cooler if you don't want to spend any extra cash,Cons:Nothing of the top of my mind.,"Other Thoughts:Runs great, affordable, easy to use. I swapped out the cooler they included (which is not a bad cooler by any means) for liquid cooling, but love it so far."
AMD,YD270XBGAFBOX,3,slightly deceptive,2018-12-31,Pros:I literally just received the package. haven't tried it out yet.,"Cons:the box was kind of crushed. the CPU box was fine and upon further inspection everything inside was undamaged.However, printed on the side of the box, and the front, it says that contained in this box is a AMD processor, AMD thermal solution, installation instructions, and warranty info.now I may be thinking that thermal solution is referring to the mall paste but I think they mean the fan and heatsink. But, there are no installation instructions at all.",Other Thoughts:missing the instructions isn't a downside for me. I've been building computers for a while so I don't really need them.I just thought I'd share that.
AMD,YD270XBGAFBOX,5,Best Value processor for gaming,2018-12-29,Pros:Runs everything wellCan also stream at decent setting while playing,Cons:None so far,"Other Thoughts:I put this in with a thermaltake aio cooler and haven't seen it go above 55 celsius even after long gaming sessions. Great power, great price (I paid around $260 on BF), and runs flawlessly"
AMD,YD270XBGAFBOX,5,The all rounder CPU,2018-12-28,"Pros:Fast, Affordable.",Cons:none,None
AMD,YD270XBGAFBOX,5,"Fine, so far",2018-12-25,Pros:Just one thing if you are here for multitasking... Trust me you are definitely in the right place (perfect for gaming also),"Cons:The shipment toke 10 days in the airport stucked because newegg didn't send the clearance fast, it should of arrived earlier hy more than 10 days",None
AMD,YD270XBGAFBOX,4,Decent Processor,2018-12-24,"Pros:Great upgrade from my FX8350, paired with an Asrock X470 Taichi and 16GB of GSkill Trident 3200 MHz Memory.  Much faster than my previous system, glad I waited for the Ryzen 2000 series before upgrading.","Cons:The Ryzen 7 CPU's, the 2700X specifically uses a +10 degree temperature offset to maintain fan consistency.  I've noticed with my setup that due this +10 degree temperature offset, that my system doesn't boost as high as it can.",None
AMD,YD270XBGAFBOX,5,good processor,2018-12-20,Pros:8 cores 16 threads for less then 500 bucks. solid performance all around good buy. the motherboards are pretty cheap compared to the blue team.,Cons:needs expensive ram to gain performance. Its ok at overclocking but oc the ram brings better performance.,Other Thoughts:havnt had a problem out of the chip like at all. no patches have slowed down performance like intel has. bc of the core count and performance will be a good chip for yrs to come.
AMD,YD270XBGAFBOX,5,None,2018-12-19,Pros:Works,Cons:No cons,None
AMD,YD270XBGAFBOX,5,great cpu and great price,2018-12-19,Pros:fast cpu with a rgb cooler,"Cons:some bug for using old version win 10, must download the newest windows if use this cpu",None
AMD,YD270XBGAFBOX,5,Amazing performance!,2018-12-18,"Pros:- Performance is really satisfying!- Temperature is not bad with stock wraith cooler, 40 degrees at idle and around 60 under very heavy load- Wraith cooler is really shiny!- Really good deal, I got it for only 330 CAD during Black Friday.",Cons:None really so far!,"Other Thoughts:The PGA type CPU is still very hard to work with. Extremely easy to pull the entire CPU out when uninstalling the cooler, and if you happen to drop the CPU on the floor, you are pretty much in big trouble. Hope AMD can switch to LGA soon."
AMD,YD270XBGAFBOX,5,Faster Than My AMD FX 9590.,2018-12-18,Pros:Love this Processor 40% Improvement over my AMD FX 9590 Rig.Runs Cool with the EVGA 280 Closed Loop Water Cooler.,Cons:None,Other Thoughts:Will be Purchasing more of these in the Future for my other PC Upgrades.
AMD,YD270XBGAFBOX,5,Fantastic,2018-12-15,"Pros:We all know the Ryzen 7 is awesome, but I didn't expect the included cooler (Wraith Prism) to be good enough for my purposes. It very much is. The thing takes everything I can throw at it from Prime95 without breaking 75C.",Cons:None!,None
AMD,YD270XBGAFBOX,5,Super fast and a bargain for the price.,2018-12-15,Pros:Fast CPU and comes with a stock cooler saving the additional purchase.  Acquired it as a Combo with the ASRock x470 Mobo. Both are terrific and easy to install.,Cons:None.,Other Thoughts:Highly recommend.
AMD,YD270XBGAFBOX,5,excellent,2018-12-13,Pros:Fast;Does everything I want;,Cons:Noisy stock cooler,None
AMD,YD270XBGAFBOX,5,Bang for the buck can't beat it.,2018-12-12,Pros:Had the 8350 was time to upgrade. There is a big difference in performance between them. I kept my same video card and I'm not getting screen tearing and artifacts now.,Cons:None that I can think of everything was straight forward on installation.,None
AMD,YD270XBGAFBOX,5,Amazing,2018-12-11,Pros:- multithreaded applications are amazing- gaming is amazing- absolutely fantastic cooler- runs cool 26 on idle and 56 in gaming and around 60 on a heavy work load.,Cons:I can't think of any to be honest.,Other Thoughts:This processor does not need to be overclocked it's not an Intel processor. If you have good cooling it will boost itself. My processor sits itself at 4.2ghz boost without me doing anything. Pair it up with 3000mhz of higher ram and it's an absolute monster of a processor. Why spend more on an Intel processor that you have to overclock or buy an aftermarket cooler for?I had the i7 7700k prior to this processor and I see a huge difference in performance between the two processors in both gaming and work applications.
AMD,YD270XBGAFBOX,5,"love it, Extremely fast.",2018-12-11,"Pros:Extremely fast with multiple threads and cores, good stock cooler, perfect for multithreaded workloads, works pretty decent for gaming.",Cons:Single core performance is a little lacking compared to Intel,Other Thoughts:I was able to overclock this baby to 4.2ghz at 1.3345v to the core. The cpu cooler gets a bit loud when you do this but it keeps it cool. The max temperature I got on my cpu so far with the overclock is 76*c
AMD,YD270XBGAFBOX,5,Excellent processeur,2018-12-09,"Pros:- Fonctionne super bien avec le radiateur fournit, fonctionne entre 4 et 4,1 ghz en permanence. il est seulement à 34 degrés Celsius (environ 12 au dessus de la température pièce) il monte à 65 degrés Celsius lors d'un test cinebench, dans cinebench j'ai fait un score de 1745 cu (sans l'avoir overclocker).","Cons:Pour le moment, rien.","Other Thoughts:Je recommande ce processeur, il est parfait. Je compte garder mon ordinateur pendant plusieurs années, c'est pour ça que j'ai acheter un processeur aussi cher."
AMD,YD270XBGAFBOX,5,Performs well as expected,2018-12-09,"Pros:I haven't done a lot of testing, but there are several other reviews out there already.I have the CPU running at stock settings. Speed boosts to 4.3 GHz when gaming, 4.1 Ghz running Prime95. CPU temp maxes out around 75 C with the included cooler.The Wraith Prism RGB lighting effects are cool...",Cons:The instructions are minimal. I had to search online what the included cables are for and what software is needed to control the RGB lighting on the cooler.,Other Thoughts:Bought it on sale during Cyber Monday. Definitely worth the price considering it has 8 cores.
AMD,YD270XBGAFBOX,5,Amazing! Blazing Fast!,2018-12-09,Pros:Excellent product. It exceeded my expectations in performanceLove the RGB cooler fan!Runs cool when not overclockedGreat bang for your $$,Cons:None that I noticed,None
AMD,YD270XBGAFBOX,1,over heats easy,2018-12-07,Pros:- 8 cores- fast,Cons:- doesn't ram well enough- get hot very easy- the stock fan is trash,"Other Thoughts:This will be my last amd build after see how badly this worked with my 3,200 32gb gskill ram.  I'm building Intel next and I've been an AMD user my entire LIFE!!"
