EVGA,06G-P4-6163-KR,5,Great video card,2019-02-14,Pros:-awesome performance for the price-evga warranty/support,Cons:-none,Other Thoughts:Card is a couple years old now but has performed flawlessly in that time. No complaints at all and EVGA is always the best for customer service if there is ever a problem.
EVGA,06G-P4-6163-KR,5,Great card!,2017-06-30,Pros:- strong enough to handle most anything I throw at it.- video memory to spare.- despite being a single fan it runs fairly cool. Only hits 55c running Forza Horizon 3.- insanely quiet.- lower power draw than my previous card.- small form factor.,Cons:- the steadily climbing price.- had to fiddle a little bit with bios settings to get it working properly with my motherboard. Enabling the PCI legacy mode did the trick.,None
EVGA,06G-P4-6163-KR,4,"Eh, it's OK",2017-06-28,"Pros:Pre overclocked is good, decent performance for such a stubby little card, cooler seems effective enough for me.","Cons:GeForce Experience is an awful disaster, for some reason cs go runs like horribly shutter sputter 15-25 fps.","Other Thoughts:I got it before the major price hike. Don't install GFE well you have to to get the free game but get rid out it after. Like I said cs go runs horribly but Just Cause 3 runs great so the card isn't defective it's something wrong with cs go. I have both the Rx 580 8GB and this GTX1060 6GB my old card was R9 280x 3GB, the 580/1060 really are the new mid level cards for 1080p.Temps and noise aren't too bad very cool ambient 66-68f  %100 load runs 65c fan %51, warm room 72f+ the card ramps up the fan to try and keep it no more than 70c so it gets a little loud but not as loud as an old single fan HD6870 I have.Over all it's an interesting little card, if you get it for a reasonable price it's fine and realize that a single fan card is a little louder than dual and triple fan cards it's just common sense."
EVGA,06G-P4-6163-KR,5,Great card,2017-06-26,"Pros:- Very powerful for it's size.- Great quality, you can tell it's a great quality card just by it's weight.  It's pretty heavy for it's size.- Plays all my games on ultra setting in 1080p at >60FPS.","Cons:- People have complained about the noise of the fan, but I can't hear mine at all with it running at full load.  I think it's because I have great air flow in my case, so it doesn't get hot enough for the fan to ramp up.  So in other words, so con's for me.","Other Thoughts:I'll be honest, when I first saw this card, I immediately disregarded it because of it's size.  I wanted a full size SSC or a card with at least 2-fans.  But with the prices going up on the other cards right now, I had no choice but to purchase this card.  Well, I have no regrets what-so-ever.  This card runs cool, and performs absolutely amazing.  I love it, and I highly recommend it to anyone needing a powerful graphics card at a good price."
EVGA,06G-P4-6163-KR,5,Nice card,2017-06-24,Pros:- small- 6-pin power connector- 50-100% better fps vs GTX 660 while also moving graphics from medium-high to ultra,"Cons:dvi -> display-port adapters don't work, if your running dual dvi use a dvi to hdmi adapter.",None
EVGA,06G-P4-6163-KR,5,Fantastic. Runs cool and super stable.,2017-06-20,Pros:Great mid range card. Runs pretty much everything I throw at it at over 100 FPS on Ultra settings. Super easy install.,Cons:None.,Other Thoughts:If you want a card that will run everything on Ultra for the next 2 or 3 years you got your card right here.
EVGA,06G-P4-6163-KR,5,great card,2017-06-17,Pros:Very powerful for it's price,Cons:None,"Other Thoughts:I would highly recommend this card, especially for it's price to performance ratio."
EVGA,06G-P4-6163-KR,4,Great Product! Love EVGA Products,2017-05-05,Pros:- Stays cool- easy install-comes with a nice program that keeps track of fan speed and heat ext...,Cons:-fan can be loud at times,None
EVGA,06G-P4-6163-KR,5,Awesome!,2017-05-05,"Pros:FPS on Overwatch with an I3 6100 on epic is 90-170! On Ghost Recon Wildlands and on pretty high settings, it's like 55-100 ish. Upgraded from a 750TI which would run 60-80 FPS on Ultra settings in Overwatch. Ghost Recon is a really pretty game!","Cons:The fan can be a little loud at times on Ghost recon, but it could be because of the lack of air flow in my case. It's pretty big for a smaller card, but it fit in my case so no worries.",Other Thoughts:I would definitely recommend if your looking for a smaller card that will run pretty much all the games you play.
EVGA,06G-P4-6163-KR,3,Good but not great,2017-05-05,Pros:- Compact form factor- Good price point for level of performance,"Cons:- Not terribly loud, but certainly louder than my GTX 460 Cyclone 1GD5/OC from MSI which was whisper quite because it didn't use these stupid air duct designs and instead relied on a large fan with heat pipes from the chipset.  That MSI Cyclone was rock solid and I would buy it again in a heartbeat if they refreshed its design for the GTX 1060.- I really don't like the air duct cooling  arrangement for graphics cards, but I have no other choice because I don't see anything like my old card on the market any more and I do not want to deal with the upkeep of a liquid cooled design.","Other Thoughts:- I bought this card once as an upgrade from a GTX 460 and it worked for a few evenings of gaming before dying and (it would appear) taking the motherboard down with it (I tried both the old card and the onboard video, but could no longer get a signal on my monitor).  I am confident that it was compatible with my system and well within the capabilities of my power supply, so it was very likely a faulty card.  The replacement card I received has so far been working fine so hopefully it was a fluke.  Though I much would have preferred not having to replace my entire machine in the process."
EVGA,06G-P4-6163-KR,5,Huge upgrade from a GTX 760 at a ridiculously low price!,2017-04-23,Pros:Fits easily in mid sized case. Running new games on ultra quite easily. The single fan keeps temps well in cool range on heavy loads (Witcher 3 maxed including Hairworks) and is very quiet. A no brainer upgrade on a budget.,"Cons:Just wish this had LEDs, but that is just flavor :)",None
EVGA,06G-P4-6163-KR,5,Wonderful little beast!,2017-04-22,"Pros:- Very powerful little thing- Small form factor is a HUGE plus for future builds- Only 150W TDP / PCIe Power cable!- Installation was a breeze. It worked flawlessly plug and play on my old S5520SC Mobo- Drivers were easy to install and worked out of the box (make sure to download from nVidia site instead of the provided drivers, and to use DDU tool to remove your old drivers completely before that. You can search google for DDU, it's easy).- Runs anything very smoothly on 1080P and Ultra settings.- Looks really ""sexy""!- EVGA support and community (a real plus)- EVGA software easily adjusts the fan curve or over/under clocks the card","Cons:Can't think of any, but if only it had a backplate that would be nice. This would prevent dust from accumulating on it, but that's barely an issue.","Other Thoughts:Coming from an old ATI Radeon HD 5770 this is a huge boost for my rig.I'm really happy I bought this, especially the 6GB version. This card is a huge bang for buck! I find it way worthy that the larger and more expensive cards from its tier.I can't imagine a better choice for 1080P gaming given the size and price. Just bear in mind that it's not designed for extreme 4K performance so don't judge it for that."
EVGA,06G-P4-6163-KR,5,Fantastic product,2017-04-21,Pros:Easy installExcellent performanceReasonably priced,Cons:I have no criticisms,Other Thoughts:I would absolutely recommend this product.
EVGA,06G-P4-6163-KR,5,Finally Got a good Card!,2017-04-20,"Pros:-Pretty good price to performance, i haven't found a game that this cant run well",Cons:-The heat can get a little out of control sometimes,None
EVGA,06G-P4-6163-KR,5,"Amazing GPU, for the price!",2017-04-19,Pros:- The GPU is very affordable- The Base clock speeds are very high- For a single fan GPU over clocks well- Stays cool even under high loads- Easily the best GPU that you can get for the $250 price range,Cons:- NONE!,"Other Thoughts:- Been running the card in 2560 x 1440 and have had no issues with games, playing most in high settings."
EVGA,06G-P4-6163-KR,5,Great little card at a slightly awkward price point,2017-04-19,"Pros:As a higher-end budget card, there's not a lot more you could ask for: performance reportedly approaching a GTX 980 for less than $250, plus a small form factor for convenient installation and a solid factory overclock. I put it inside a mini-ITX build to replace a dying 2GB 960, and now it plays Dark Souls 3 on ultra at a rock-solid 1080/60fps without even approaching max usage. With a custom, more aggressive fan curve, doesn't get over 70 degrees Celsius on the Heaven benchmark.EVGA delivers its usual no-nonsense aesthetics and good build quality (they even included a case badge!), and the smaller card fits in my Fractal Design Core 500 with plenty of room to spare (especially compared to the monstrously gigantic MSI card it replaced). The Precision XOC utility is handy too.","Cons:Gets very loud with fan speed over about 50%. I recommend headphones to drown out its tortured screaming.No LEDs, if that's your thing.As other reviewers have said, where this card lies in terms of performance is a little odd: maybe a bit more than what you need for 1080p, maybe a little less than what you need for 1440p. It's definitely not bad at either, but the RX 480/580 and the 3GB 1060 are only a little bit worse at 1080p for significantly less money. I probably wouldn't have replaced even my 960 if it wasn't for the thought of going through a month-long RMA process with MSI all for the sake of a card I'd probably replace in a year or two anyway.That said, if you need 1080p/60fps performance at max settings AND a small form factor, then this card is probably one of your very few choices, and likely the best -- so go ahead and grab it!",Other Thoughts:I'd probably pick this over ZOTAC's mini 1060s just on the basis of clock speeds.
EVGA,06G-P4-6163-KR,5,Review for: 1060 SC Gaming ACX 2.0 Single Fan 6GB,2017-04-18,"Pros:Pros:Runs cool -- 28C-32C idle, 60~C while in gameQuiet fan (Unless you are running at 80%+ fan speed, and if you do - reconsider your life)Powerful card (I've yet to experience less than 60 FPS)Good price",Cons:No SLI,"Other Thoughts:Excellent videocard. Small, efficient and mostly quiet. Great video card for gaming at 1080p."
EVGA,06G-P4-6163-KR,5,Great mid range graphics card!,2017-04-18,Pros:- EVGA warranty- Runs cool- Perfect 1080p gaming card- So far no issues after 6+ months,Cons:- Price to performance isn't the best- None,Other Thoughts:This is a great little 1060 and won't let you down!
EVGA,06G-P4-6163-KR,5,Nice and compact,2017-04-18,"Pros:This card uses lot less wattage for the power it puts out, easy keeps me above 60 fps in all my games",Cons:haven't found any cons yet,Other Thoughts:I would gladly recommend this graphics card
EVGA,06G-P4-6163-KR,5,Significantly better than my 960 SSC!,2017-04-18,"Pros:-Games look and run so much better than on my old 960 SSC.-Quieter than my old 960.-Smaller, lighter, and no sag at all.","Cons:-An SLI slot would be nice, but that doesn't affect me.","Other Thoughts:-It would be nice to be able to have the fan run without having to use PrecisionX. What I mean is that the fan does run, but only when it gets super hot, which I can't imagine being good for the life of the card. I could be wrong, of course. I'd like to not have to run PrecisionX just to keep the card at a temperature I feel is safe. Again, I could be completely wrong about what's good for the card."
EVGA,06G-P4-6163-KR,5,Outstanding Card,2017-04-18,Pros:Smaller sizeIncredible PerformanceLow Power ConsumptionRuns Quietly,Cons:Not worth mentioning.,"Other Thoughts:Bought to replace my 770 FTW (EVGA).  I needed a smaller card with a better power usage rating.  What I got was a card that met those requirements and doubled the performance of my 770 FTW.  According to the Heaven Benchmark Utility, the 1060 out performed my 770 by double.  I strongly recommend this card.  It has not had any issue running any games thus far. From Minecraft through DOOM it has done a very nice job."
EVGA,06G-P4-6163-KR,5,Best card since the GTX 460,2017-04-18,"Pros:Price to performance reminds me of the GTX 460 days.  No issues at all in almost a year of ownership.  Runs cool, whisper quiet.  Perfect solution for 1080p setup for gaming amd graphic arts.  Single fan and short card made for a perfect micro atx solution.  No coil whine, folds like a champ.",Cons:None,Other Thoughts:Bought at launch amd has been in use round the clock since.  Looks dinky now that it has been moved to a full ATX case setup.
EVGA,06G-P4-6163-KR,5,Great Little Card - Fast and Quiet,2017-04-18,Pros:-Great price/performance point-Single-fan version runs quiet and cool.-Small card was nice and easy to install,Cons:-wasn't free,"Other Thoughts:-I was skeptical that I needed 6GB of VRAM, but was surprised how many games use more than 4. Glad I didn't cheap out and get the 3GB version (which is also clocked slower).-Not sure why anyone would need a 2-fan version."
EVGA,06G-P4-6163-KR,5,Great product!,2017-04-18,Pros:- Small model with low power usage- Runs most of the games I play extremely well,Cons:- None,"Other Thoughts:If you're looking to run the hardcore games on max settings, this probably won't be enough. But for mid/high settings this is a great card for the price."
EVGA,06G-P4-6163-KR,5,a tiny cannon,2017-04-18,Pros:small but strong,Cons:none till now,"Other Thoughts:Though I put it in a mid-tower case, it is definitely suitable for smaller case as the temperature is always low. Userbenchmark.com showed my  graphic card is beyond the average of 1060s before the 3gb version was released."
EVGA,06G-P4-6163-KR,5,Great Card. Great Value,2017-04-18,Pros:Performs as expected.Price is terrific.Size is convenient for small builds.,Cons:None other than high temps but thats fine in a single fan gpu.,None
EVGA,06G-P4-6163-KR,5,Great Card,2017-04-18,"Pros:It's a nice, compact card at a great price that made building a HTPC very reasonable. It's also going to be used for a VR headset in the near future.",Cons:None,None
EVGA,06G-P4-6163-KR,5,Great product by EVGA,2017-04-15,"Pros:Powerful, small and compact.  Does a great job in my HTPC.  I have purchased 10s of dozens of EVGA products, I have had one fail (x79 mobo with faulty USB).  Wonderful product.  Exactly what I needed in my HTPC.","Cons:Due to my use of it in an HTPC, if the body was the same size and on the same plane as the back mount,that could be an improvement.  It is a tight fit in an HTPC case with the power cables coming from the top, or you could place the power cables coming from the back and heck, you got another 1/4"" height wise to play with.","Other Thoughts:Yes.  Whether it is for a budget gaming system, if you want to run VR, or if you use it like me for 4k streaming, well worth it."
EVGA,06G-P4-6163-KR,4,Wowzers!,2017-04-11,"Pros:I previously ordered the 06G-P4-6267-KR but due to poor placement of my SATA ports it just wouldn't fit! Just too BIG, so I got this card instead, and it is 6.8 Inches of PURE PLEASURE!I've got the performance of the larger card, but in a smaller package.",Cons:Heat dissipation is mediocre.,Other Thoughts:It's a great step up from the onboard GPU.
EVGA,06G-P4-6163-KR,5,exceded my expectations,2017-04-03,"Pros:This exceeded my expections . I was expecting a small cheeply made card , what I got was a well made , heavy card .  The heatsink on this looks like coper heatpipes and runs very cool at idle , in fact the fan is off at idle ! (cool ) I was suprised at the weight of the card this size . I bought this to run mass effect andromada and that is does , wow the eye candy is breathtakingI highly recomend this card the bang for the buck , build quality , and proformance are outstanding !!!","Cons:only one small con , the fan can get a little loud under load but is does the job very well if dead silent is what your after then this card is not for you","Other Thoughts:coming from a asus 950 to this wow ! I get even get better 2d quality , images look lke you could peel them off the screed"
EVGA,06G-P4-6163-KR,4,Works Beautifully,2017-03-14,Pros:Built my computer about two weeks ago. I haven't had any issues with benchmarks yet. This is my first time building a computer and I'm not disappointed with the speed and quality this GPU puts out.,Cons:None as of yet.,None
EVGA,06G-P4-6163-KR,5,Great Price to Performance,2017-03-10,Pros:Insanely fast for the price. Extremely compact for it's performance. Fit well into my case.,"Cons:Like others have mentioned, it can be extremely loud under load. My fan speeds were usually between 60% and 100% while running graphically extensive applications. This may have been due to case airflow limitations though.",Other Thoughts:Computer running this GPU:- i3 7100- Corsair 8GB DDR4 2400- EVGA 1060 SC 6GB [single fan]- EVGA 500W PSU- Silverstone SG13BDidn't dock an egg for audibility. Other [video] reviews mention it stays pretty quiet in cases with great airflow.
EVGA,06G-P4-6163-KR,5,great card,2017-02-19,Pros:I have a mini ITX motherboard and small form-factor case so the Heat output was a big issue for me. this card runs cooler then my old EVGA GTX 760 SC well on me to run Max settings I'm almost all games. can't recommend this card enough you won't be disappointed if your coming from an older card like I was.,Cons:the fan is loud if you run it up to the 4000 RPM Redline. that being said mine never goes above 50%,Other Thoughts:have the card for two weeks really happy with it
EVGA,06G-P4-6163-KR,5,Better Than I Expected,2017-02-19,"Pros:This card really is the king of 1080p gaming. Elite: Dangerous had been ranging between 24-60 fps with my old GTX 660 ti card and now runs a smooth 57-61 fps with the 1060 with most settings at Ultra and a few at High (VSync on). Card runs cool. The fan doesn't even activate until after about a half hour of playing Elite and then just barely. Haven't seen the temps go above 55 C under stock fan settings. Plays Elite, Skyrim and Fallout: New Vegas effortlessly at max or near max settings at 60 fps.*UPDATE 2/19/17* Tried it with The Witcher 3 and that makes it run hotter, around 70-75 C with the fan going over 60%.","Cons:The only problem I had was that one of the two back panel screw holes didn't quite line up with the one in my case, but the other one did, so the card is locked down well enough. Just a minor irritation and could be my case's fault.","Other Thoughts:Smooth 1080p gaming, runs cool and quiet, what's not to love? If, like me, you were wondering if it was really worth it to upgrade from a 660 ti, go for it! It really does make a difference."
EVGA,06G-P4-6163-KR,4,Great Card,2017-02-03,Pros:Great 1080p gaming,Cons:Does not turn on randomly after going into sleep mode while pressing key board or mouse; so have to hard turn off computer,None
EVGA,06G-P4-6163-KR,5,"Yes, has no problem with 4k monitor.",2017-02-02,Pros:- It is really quiet...  almost as quiet as the fanless Nvidia 650 I had before I bought this.- Had 0 issues while installing the card.  Works perfectly after 5 days of use.,"Cons:- Performance improvement on games, over my old 650 card, is not noticeable except for ability run higher resolutions.",None
EVGA,06G-P4-6163-KR,5,Solid upgrade,2017-01-30,"Pros:Best card I could fit in my stock HPHigh fps on multiple games, limited only by my monitorGreat value",Cons:If only a dual fan could be a little smaller,"Other Thoughts:Coming from a 750ti, this card is epic! Witcher 3 is very lush at 60 fps and doesn't drop below 50 fps on Ultra with mostly max settings in a fight."
EVGA,06G-P4-6163-KR,4,Small But mighty.,2017-01-24,Pros:Normal EVGA quality without the stupid MLG/ROG/420 no-scope aesthetic. (if you know what I mean)Small- fits in almost all cases.Powerful- runs all modern titles at mostly high to ultra settings assuming 1080P resolution.Nvidia stability- never have driver issues on the green team.,Cons:Runs hot.Runs loud.,Other Thoughts:If space is not a problem then go with a full size card you will thank me.If you must go with a small card then you might want to under-clock this little guy for normal daily use as I find that it stayed hot even when under very little load.
EVGA,06G-P4-6163-KR,4,Good Product!,2017-01-23,"Pros:-Easy to install, as would be expected.-Arrived quick and in a sturdy box, so it wasn't damaged at all.-Software was easy to install as well.-Runs most sorts of games buttery smooth, at least for me!-Easy fit for small towers.","Cons:-Not actually the card's fault, but EVGA's Precision tuner absolutely kills performance on really nonintensive products. Paint.NET refused to respond, but this was easily rectified by just shutting off the EVGA program.-My box did not come with instructions on install, which is fine if you've seen other people do this sort of thing, but could really turn off a newbie who honestly wants to get into this without fear of damaging these 200+ dollar components. I took an egg off just for this.","Other Thoughts:I recommend this product to people who have the money to get the 6GB model. The extra 50 bucks can be a bit of a pain, but the extra 3GB of VRAM certainly will help the card survive a lot longer with other models coming out.I would have really liked to know a good estimate for power supply usage as a whole, not just recommended for this card; Thankfully I already had one strong enough to pull the card's weight.All in all, I will most certainly be purchasing from EVGA again in the future."
EVGA,06G-P4-6163-KR,5,The best video card to get without spending a ton,2017-01-20,"Pros:Battlefield 1 - Ultra detail with max 1920x1080 resolution on ASUS 24"" 144hz monitor.  Runs like absolute butter with zero lag or drop in framesCan't believe the size of the card and the power it hasMuch less fan noise then my old dual fan cards",Cons:None,"Other Thoughts:For the size, price, and performance you can't beat it."
EVGA,06G-P4-6163-KR,5,GTX 1060 6GB,2017-01-10,Pros:-Small for small towers-The better 1060 (This)-Doesn't get crazy hot.,Cons:-Not flashy,Other Thoughts:-Only get a 6gb 1060 model. It is way better
EVGA,06G-P4-6163-KR,5,GTX 1060 SC 6GB,2017-01-09,"Pros:Wonderful product with compact design, amazing if there's little room to work with in the case and still gives amazing near perfect performance at 1080p res.",Cons:None that I have.,"Other Thoughts:Amazing buy for 1080p gaming users, 4k users, its good, but maybe something else is better."
EVGA,06G-P4-6163-KR,5,Good option for a budget 1440p experience.,2017-01-09,Pros:- EVGA quality.- Small size makes makes this an ideal upgrade for micro ATX builds and for cases with limited space.- Desirable frame rates and detail settings are achievable for 1440p gaming.- Relatively low power consumption.,Cons:- SLI is not an option.- DVI screws always come off when I unhook my monitor. (the screws unscrew along with the dvi),Other Thoughts:- 1440p gaming was achieved usingGTX 1060Intel Core i7 26003x4GB DDR37200 RPM 500GB HDD430 Watt PSUQNIX QX2710
EVGA,06G-P4-6163-KR,5,Excellent Product,2017-01-01,Pros:-Excellent cooling capability-High factory overclock speed-Compact design,Cons:-None,"Other Thoughts:-Comes with a nice factory overclock, so not a lot of manual overclocking here; locked voltage."
EVGA,06G-P4-6163-KR,5,1st gpu and very satisfied,2016-12-27,"Pros:This is the first gpu I've ever purchased that went in the first gaming level PC I've ever owned. I say this because I don't have anything to really compare it to.I can say that this card was the perfect choice for me. I needed a shorter card, and this one has the absolute best power to size ratio on the market right now.So far it runs ice cold and silent running 1080p max settings at least 60fps on GTA 5, Skyrim, ds3, steep, etc. 250+ on cs:go. I say at least 60fps because my monitor is an LG IPS 75hz, I just keep it in 60 with vsync on, because that alone is a monumental step up from even my ps4 pro. with vsync off, I get ~100+ fps on GTA 5 max settings 1080p.Did I mention silent and ice cold? truly",Cons:n/a,"Other Thoughts:I think it's too bad they didn't leave an option for SLI with the 1060 and down, but 1 is all I need anyway"
EVGA,06G-P4-6163-KR,4,"Small, Power Efficient, and Powerful!",2016-12-13,"Pros:• Packs a huge performance punch in a much smaller size than other GTX 1060's.• Even though it has a smaller heatsink and only a single fan, it still cools almost as well as other GTX 1060's.","Cons:Originally the card shipped with the 0 dB BIOS, which did not have that aggressive of a fan curve and made the card hot on idle and regularly reach 80°C under load. For some reason this BIOS is also incompatible with nouveau, and it was not possible to boot into Ubuntu 16.04 or 16.10 without using my integrated graphics to install the proprietary NVIDIA drivers. EVGA a few months later then rolled out BIOS version 86.06.27.01.60, which solved all of these issues. The fan idles at around 20% speed now, but is not audible at all.",None
EVGA,06G-P4-6163-KR,5,Simply great.,2016-12-06,"Pros:This is my first computer build, and I am so lucky to have built a computer in this time in technology. I have never tried any other graphics cards, so I can't necessarily compare with anything. All I can say is it's power is matching with the previous generations top dogs for $200 less. If you're coming from a 960 or a 970, you might be surprised with the difference (970 not so much, but you have the extra 2.5GB of VRAM to work with, so I'm not sure).",Cons:None thus far.,"Other Thoughts:It does tend to run hot while gaming without your own fan curve, but I would assume that most do. MSI Afterburner solved that problem, not to mention that I get to view all of my systems temperatures and usages alongside keeping my GPU cool. EVGA Precision XOC can also solve this problem, but you can't view all of your systems temperatures and usages with it, only your GPUs."
EVGA,06G-P4-6163-KR,5,Great Performance and a great upgrade in my case.,2016-11-28,"Pros:- Compact design ensures compatibility with most if not all form factor cases. (Used mine in Corsair 230t)- Low Fan Noise- Great Upgrade from a GTX 960, if you have a 960 or below (950, 760 ect) there is a great performance leap that is worth the upgrade.-Sits comfortably between a 970 and 980 in terms of performance",Cons:- None so far,None
EVGA,06G-P4-6163-KR,5,A dreamboat!,2016-11-25,"Pros:Fast, quiet, compact!  It makes my system run a lot quieter and also runs noticeably cooler.  Handles all my gaming very smoothly.  I upgraded from an old GTX 480.  Very glad I did, while my old card served me well, this was a great replacement for it.",Cons:I don't get to use it more than I do now!,"Other Thoughts:(nothing to do with the card) I to flash my MB and update it and tinker with it quite a bit to get it to recognize the card.  Once I did, it was smooth sailing for a couple of months now."
EVGA,06G-P4-6163-KR,4,EVGA GeForce GTX 1060 SC GAMING,2016-11-19,Pros:-More impressive performance leap from the 960 to 1060 than the 760 to 960 was.-Small size-Decent cooler/pipe array and  fan setup.,"Cons:-Fluctuating prices and availability.-Questionable Nvidia driver quality.-For a 1080p card, it's a little overkill. For 1440p, it's average.-No back plate.-","Other Thoughts:Great card. But for 1080p, you can go cheaper."
EVGA,06G-P4-6163-KR,5,Fantastic Graphics Card for the Price,2016-11-14,"Pros:I bought this card before the holiday price spike (around $250). It runs fantastic, I've run Fallout 4/Skyrim Remastered/Payday 2/EU 4/CSGO all on max settings and this card doesn't break a sweat. FPS stays above 60fps, usually much higher since I only use 1080p (normal is around 90-100), and I haven't seen it rise above 60 degrees Celsius even under full load for several hours. It is also very quiet, I never hear the fan. The configuration software provided by EVGA allows me to overclock and set gpu AI no problem.",Cons:None really.,"Other Thoughts:During the holidays the demand (and price) for this card increases exponentially, as one would expect. I would hold out until you find it offered online at a decent price."
EVGA,06G-P4-6163-KR,5,"Very efficient, High value, Small form",2016-11-04,Pros:Runs very quietRarely hear it at allLow power consumptionRuns stable at hotter temps,"Cons:Not as powerful as it's 1070 sister. (of course, not as expensive either)","Other Thoughts:I would highly recommend this card to people who are upgrading stock cases. It will fit in just about any mid tower I have seen. The thing is tiny in comparison to many other cards I have had. I have seen some people worrying about it's high operating temp, but honestly I think that is just its stable temp range. 5 eggs. Lots of goodies in the box as well."
EVGA,06G-P4-6163-KR,5,Good card,2016-11-04,Pros:Max out 1080P gaming great card,Cons:None,"Other Thoughts:6.8 inches, that's what she said."
EVGA,06G-P4-6163-KR,5,More than enough for me,2016-10-31,"Pros:Small form factor, a lot of power, its fan is off all the time unless I'm playing a very graphics intensive game, which I rarely do.",Cons:I don't play enough graphics intensive games to justify such a nice card!,"Other Thoughts:I put it in a Raijintek Metis case. Fits perfectly, although I did put a blow hole in the top to help deal with it running slightly hotter than I wanted. (High 70 C to low 80 C when playing No Man's Sky.)"
EVGA,06G-P4-6163-KR,5,Great Product. Works as advertise,2016-10-31,Pros:-Price-Performs extremely well-Ease to overclock-Perfect for 1080p gaming-Runs quiet  even under full load,Cons:-None so far and I  have been running for several hours everyday while gaming since I got it and no hiccups of any kind.,Other Thoughts:-Would recommend to anyone looking for a very good card at a even better price.
EVGA,06G-P4-6163-KR,5,Amazing FPS,2016-10-29,Pros:Replaced a hd6950 with this thing in my lga775 maximus 2 formula and I'm now playing the newest games with maxed settings at 60+ fps.-small form factor-good value,Cons:none expected,None
EVGA,06G-P4-6163-KR,5,Excellent performance for 1080p gaming,2016-10-28,"Pros:-Great value if you can find the card in stock at close to MSRP.-Performance is pretty much flawless at 1080p-Very power efficient, which is the main reason I chose this over the RX 480. My 400 W (high quality) power supply works fine with this card. The card only needs one 6-pin power connector.-The fan is quiet.-Idle power draw seems to be very low. I noticed that the fan doesn't even turn on at idle.",Cons:Frequently priced substantially above MSRP.,None
EVGA,06G-P4-6163-KR,3,EVGA GeForce GTX 1060 SC GAMING,2016-10-23,"Pros:Small in Size only 1 6 pin needed, Runs Cool",Cons:Drivers from Nvidia are unstable after hours trying to figure out if it was my monitor or the video card and trying 2 other monitors and installing multiple drivers all attempts failed. I should have waited for at least 6 months or longer till Nvidia would get the drivers ironed out,None
EVGA,06G-P4-6163-KR,5,"Easy to install , easy to overclock ...  must buy for high performance at a low budjet",2016-10-23,Pros:SmallEasily Overclockable (Check jayztwocents overclocking video )VR ready,Cons:-no backplate,Other Thoughts:I replaced my old 680 2GB with this 1060 GB.I run Doom Division in ultra at 1080 at 60 fpsThe 6gb memory is good for texturing software such as Substance painter 2 when you start to have a lots of layers ..I'm not disappointed
EVGA,06G-P4-6163-KR,5,"EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan), 06G-P4-6163-KR, 6GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches",2016-10-12,"Pros:Small.Less power hungry (only 120W Total Dissipated Power) than my old EVGA Geforce 650 ti boost.I can now game at 60 FPS on games set to ultra (1920x1080).  Fry Cry 3 / 4, DOOM, etc.  Fallout 4 gets 60 FPS on ultra except for Diamond City.This thing does protein folding six times better than the old card (PPD now ~360,000):  Hits no higher than 74C folding and less than that while gaming.Boost clock goes up to 1960 MHz, but your results may vary.",Cons:Remember to take that stupid protective film off of the case.,Other Thoughts:Remember to a complete uninstall of your video drivers and install the latest driver from nvidia
EVGA,06G-P4-6163-KR,5,Solid.,2016-10-11,Pros:The best value GPU on the market (generally speaking).,Cons:None.,"Other Thoughts:I put this in a machine with a Skylake Pentium, and it can run World of Warcraft at maximum settings. So for about $300 you have yourself max WoW graphics."
EVGA,06G-P4-6163-KR,5,Plug and play,2016-10-11,Pros:Purchased this for 1080p gaming and haven't been disappointed. Size of unit permits for unobstructed airflow within my Nano S case.  Using MSI Afterburner for tweaking GPU. Great experience. Idle @ 25c  Load @ 68c with aggressive setting.  EVGA BIOS upgrade available for semi-passive fan use.  No coil noise.,"Cons:Lack of SLI, LED or backplate.",Other Thoughts:Great bang for your buck.  Solid engineering and performance.
EVGA,06G-P4-6163-KR,5,Great Value for the Price,2016-10-10,"Pros:- Awesome Value in this tiny card.  Mine came with the 0db fan bios, so was a simple driver download from the website, and i was up and running.   Plays all my games at 60fps, and they look amazing now!- Small size and only needs 1 6pin from the power supply has also cleaned up my case and increased air flow!- Stays cool using the default fan profile.  Have not felt the need to use a custom fan curve yet.",Cons:No Cons here.,Other Thoughts:Replaces a 4 year old HD7870 that decided to fail.  Could not be happier with this choice.
EVGA,06G-P4-6163-KR,5,awesome card,2016-10-08,Pros:-fast graphic rating when i bench marked it-super quiet fan at full speed-doesnt overheat very easily highest so far has been 48c-supports 4k i have it hooked up to my 55 inch screen tv and picture look great during game play- small form factor helps for better air flow in case-over clocking works great on it got my clock up to 2138 mhz and stayed stable and got memory clock up to 4666,Cons:- none so far only problem i had was with my skyrims enb not working but that was remedy by enboost though-no sli bridge which suck would deff like to buy another one to hook up together,"Other Thoughts:great card , great price would highly recommend to anybody awesome preformance"
